iter	Passed	Remaining
0	2	292
1	6	295
2	7	254
3	9	216
4	11	210
5	13	209
6	15	207
7	19	221
8	21	220
9	23	214
10	25	209
11	27	203
12	30	202
13	32	202
14	35	199
15	36	190
16	38	187
17	39	181
18	41	176
19	43	173
20	46	174
21	48	170
22	50	168
23	52	165
24	54	162
25	56	160
26	57	156
27	62	161
28	64	158
29	66	154
30	68	152
31	70	150
32	72	147
33	78	152
34	80	149
35	82	146
36	83	142
37	85	140
38	88	137
39	90	135
40	92	132
41	93	129
42	95	126
43	97	124
44	99	121
45	101	119
46	105	118
47	108	117
48	110	114
49	111	111
50	113	109
51	115	106
52	120	106
53	122	104
54	123	101
55	125	98
56	128	96
57	130	94
58	134	93
59	137	91
60	139	89
61	141	86
62	143	84
63	145	81
64	151	81
65	153	79
66	155	76
67	157	74
68	159	71
69	161	69
70	164	67
71	166	64
72	168	62
73	170	59
74	172	57
75	174	55
76	176	52
77	180	50
78	182	48
79	183	45
80	185	43
81	187	41
82	189	38
83	191	36
84	197	34
85	198	32
86	200	30
87	202	27
88	204	25
89	208	23
90	211	20
91	213	18
92	215	16
93	217	13
94	219	11
95	222	9
96	224	6
97	226	4
98	227	2
99	229	0
